CELL_ID,PC_1,PC_2,PC_3,UMAP_1,UMAP_2,UMAP_3,CLUSTER,STAGE_LR,STAGE_HR,STRAIN,DAY,HOST
X32706_8_49_sorted.bam,NA,NA,NA,-14.39574447,0.180891686,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_50_sorted.bam,NA,NA,NA,7.911339137,-12.03946692,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_51_sorted.bam,NA,NA,NA,6.273542735,-16.75454909,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_52_sorted.bam,NA,NA,NA,-8.630431322,3.160393172,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_53_sorted.bam,NA,NA,NA,-6.373475698,3.698170595,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_54_sorted.bam,NA,NA,NA,4.225649449,-15.34335429,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_55_sorted.bam,NA,NA,NA,5.90786204,-16.62785918,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_56_sorted.bam,NA,NA,NA,-14.10843673,4.007266932,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_57_sorted.bam,NA,NA,NA,-11.97528758,-2.384622529,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_58_sorted.bam,NA,NA,NA,8.346333357,-16.47642714,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_59_sorted.bam,NA,NA,NA,2.064435693,-14.07018001,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_60_sorted.bam,NA,NA,NA,-11.6865417,0.515312128,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_61_sorted.bam,NA,NA,NA,-6.625957635,-0.829030699,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_62_sorted.bam,NA,NA,NA,3.293850752,-11.85636622,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_63_sorted.bam,NA,NA,NA,2.470979663,-14.0954333,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_64_sorted.bam,NA,NA,NA,-15.03367153,-2.009399808,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_65_sorted.bam,NA,NA,NA,-9.003251222,6.882650309,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_66_sorted.bam,NA,NA,NA,-15.5313026,9.583718233,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_67_sorted.bam,NA,NA,NA,-14.78475681,10.39508718,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_68_sorted.bam,NA,NA,NA,-14.46282783,0.785925322,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_69_sorted.bam,NA,NA,NA,-12.48676315,9.005291872,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_70_sorted.bam,NA,NA,NA,-6.75770965,-6.750306673,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_71_sorted.bam,NA,NA,NA,4.029158923,-16.76741321,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_72_sorted.bam,NA,NA,NA,6.313009592,-15.29492671,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
X32706_8_73_sorted.bam,NA,NA,NA,-5.956319002,-5.761087007,NA,NA,sporozoite,sporozoite (salivary gland),NA,NA,mosquito
X32706_8_74_sorted.bam,NA,NA,NA,-9.305665163,0.496752196,NA,NA,sporozoite,sporozoite (injected),NA,NA,mosquito
X32706_8_75_sorted.bam,NA,NA,NA,0.01235077,-11.25556952,NA,NA,sporozoite,sporozoite (oocyst),NA,NA,mosquito
